Unnamed: 0,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20,question_21,question_22,question_23,question_24,question_25,question_26,question_27,question_28,question_29,question_30,question_31,question_32,question_33,question_34,question_35,question_36,question_37,question_38,question_39,question_40,question_41,question_42,question_43,question_44,question_45,question_46,question_47,question_48,question_49,question_50,question_51,question_52,question_53,question_54,question_55,question_56,question_57,question_58,question_59,question_60,subject
sft_conscientiousness_high_none_0.0,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,sft_conscientiousness_high_none_0.0
sft_conscientiousness_low_none_0.0,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,sft_conscientiousness_low_none_0.0
lata_conscientiousness_high_linear_l0.5_linear_0.5,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_linear_l0.5_linear_0.5
lata_conscientiousness_high_linear_l1.0_linear_1.0,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_linear_l1.0_linear_1.0
lata_conscientiousness_high_linear_l1.5_linear_1.5,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_linear_l1.5_linear_1.5
lata_conscientiousness_high_linear_l2.0_linear_2.0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_linear_l2.0_linear_2.0
lata_conscientiousness_high_log_l0.5_log_0.5,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_log_l0.5_log_0.5
lata_conscientiousness_high_log_l1.0_log_1.0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_log_l1.0_log_1.0
lata_conscientiousness_high_log_l1.5_log_1.5,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_log_l1.5_log_1.5
lata_conscientiousness_high_log_l2.0_log_2.0,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_log_l2.0_log_2.0
