model,question_id,dimension,statement,score,raw_text,lambda_val,strategy
Base_Control,1,extraversion,I am the life of the party.,1.0," 1

Statement",,
Base_Control,2,extraversion,I don't talk a lot.,5.0," 5

Statement",,
Base_Control,3,extraversion,I feel comfortable around people.,5.0," 5

Statement",,
Base_Control,4,extraversion,I keep in the background.,3.0," 3

Statement",,
Base_Control,5,extraversion,I start conversations.,4.0," 4

Statement",,
Base_Control,6,extraversion,I have little to say.,3.0," 3

Statement",,
Base_Control,7,extraversion,I talk to a lot of different people at parties.,3.0," 3

Statement",,
Base_Control,8,extraversion,I don't like to draw attention to myself.,5.0," 5

Statement",,
Base_Control,9,extraversion,I don't mind being the center of attention.,5.0," 5

Statement",,
Base_Control,10,extraversion,I am quiet around strangers.,3.0," 3

Statement",,
Base_Control,11,neuroticism,I get stressed out easily.,3.0," 3

Statement",,
Base_Control,12,neuroticism,I am relaxed most of the time.,4.0," 4

Statement",,
Base_Control,13,neuroticism,I worry about things.,4.0," 4

Statement",,
Base_Control,14,neuroticism,I seldom feel blue.,5.0," 5

Statement",,
Base_Control,15,neuroticism,I am easily disturbed.,3.0," 3

Statement",,
Base_Control,16,neuroticism,I get upset easily.,3.0," 3

Statement",,
Base_Control,17,neuroticism,I change my mood a lot.,3.0," 3

Statement",,
Base_Control,18,neuroticism,I have frequent mood swings.,3.0," 3

Statement",,
Base_Control,19,neuroticism,I get irritated easily.,3.0," 3

Statement",,
Base_Control,20,neuroticism,I often feel blue.,3.0," 3

Statement",,
Base_Control,21,agreeableness,I feel little concern for others.,5.0," 5

Statement",,
Base_Control,22,agreeableness,I am interested in people.,5.0," 5

Statement",,
Base_Control,23,agreeableness,I insult people.,3.0," 3

Statement",,
Base_Control,24,agreeableness,I sympathize with others' feelings.,5.0," 5

Statement",,
Base_Control,25,agreeableness,I am not interested in other people's problems.,5.0," 5

Statement",,
Base_Control,26,agreeableness,I have a soft heart.,5.0," 5

Statement",,
Base_Control,27,agreeableness,I am not really interested in others.,5.0," 5

Statement",,
Base_Control,28,agreeableness,I take time out for others.,4.0," 4

Statement",,
Base_Control,29,agreeableness,I feel others' emotions.,4.0," 4

Statement",,
Base_Control,30,agreeableness,I make people feel at ease.,4.0," 4

Statement",,
Base_Control,31,conscientiousness,I am always prepared.,5.0," 5

Statement",,
Base_Control,32,conscientiousness,I leave my belongings around.,3.0," 3

Statement",,
Base_Control,33,conscientiousness,I pay attention to details.,4.0," 4

Statement",,
Base_Control,34,conscientiousness,I make a mess of things.,1.0," 1

Statement",,
Base_Control,35,conscientiousness,I get chores done right away.,4.0," 4

Statement",,
Base_Control,36,conscientiousness,I often forget to put things back in their proper place.,3.0," 3

Statement",,
Base_Control,37,conscientiousness,I like order.,4.0," 4

Statement",,
Base_Control,38,conscientiousness,I shirk my duties.,3.0," 3

Statement",,
Base_Control,39,conscientiousness,I follow a schedule.,4.0," 4

Statement",,
Base_Control,40,conscientiousness,I am exacting in my work.,4.0," 4

Statement",,
Base_Control,41,openness,I have a rich vocabulary.,4.0," 4

Statement",,
Base_Control,42,openness,I have difficulty understanding abstract ideas.,3.0," 3

Statement",,
Base_Control,43,openness,I have a vivid imagination.,4.0," 4

Statement",,
Base_Control,44,openness,I am not interested in abstract ideas.,5.0," 5

Statement",,
Base_Control,45,openness,I have excellent ideas.,5.0," 5

Statement",,
Base_Control,46,openness,I do not have a good imagination.,5.0," 5

Statement",,
Base_Control,47,openness,I am quick to understand things.,4.0," 4

Statement",,
Base_Control,48,openness,I use difficult words.,3.0," 3

Statement",,
Base_Control,49,openness,I spend time reflecting on things.,4.0," 4

Statement",,
Base_Control,50,openness,I am full of ideas.,4.0," 4

Statement",,
Instruct_Baseline,1,extraversion,I am the life of the party.,3.0,3,,
Instruct_Baseline,2,extraversion,I don't talk a lot.,3.0,3,,
Instruct_Baseline,3,extraversion,I feel comfortable around people.,3.0,3,,
Instruct_Baseline,4,extraversion,I keep in the background.,3.0,3,,
Instruct_Baseline,5,extraversion,I start conversations.,3.0,3,,
Instruct_Baseline,6,extraversion,I have little to say.,3.0,3,,
Instruct_Baseline,7,extraversion,I talk to a lot of different people at parties.,3.0,3,,
Instruct_Baseline,8,extraversion,I don't like to draw attention to myself.,4.0,4,,
