model_type,model_name,task,strategy,lambda,prompt,sample_idx,generated_text,full_text,model_strategy
base,Base_Control,none,none,0.0,i_like_to,0,"think of myself as a person who tries to help people. I've never really had a problem with that, but I've always been curious about what it means to be a person who tries to help people. It seems like a very common thing to say, and yet, it's a very strange thing to say.","I like to think of myself as a person who tries to help people. I've never really had a problem with that, but I've always been curious about what it means to be a person who tries to help people. It seems like a very common thing to say, and yet, it's a very strange thing to say.",Base_Control
instruct,Instruct_Baseline,none,none,0.0,i_like_to,0,explore new places and try new things.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 explore new places and try new things.",Instruct_Baseline
lata_stacked,Stacked_L0.0_Addition,personality_stacking,Addition,0.0,i_like_to,0,explore new places and try new things.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 explore new places and try new things.",Stacked_L0.0_Addition_log
lata_stacked,Stacked_L0.0_Normalized,personality_stacking,Normalized,0.0,i_like_to,0,explore new places and try new things.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 explore new places and try new things.",Stacked_L0.0_Normalized_log
lata_stacked,Stacked_L0.5_Addition,personality_stacking,Addition,0.5,i_like_to,0,"...read and learn new things. It's my way of escaping reality and expanding my mind. I find it calming and fulfilling, and it helps me grow as a person.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ...read and learn new things. It's my way of escaping reality and expanding my mind. I find it calming and fulfilling, and it helps me grow as a person.",Stacked_L0.5_Addition_log
lata_stacked,Stacked_L0.5_Normalized,personality_stacking,Normalized,0.5,i_like_to,0,"...read and learn new things, especially about science and history. I find it fascinating to explore the mysteries of the universe and understand how the world around us works.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ...read and learn new things, especially about science and history. I find it fascinating to explore the mysteries of the universe and understand how the world around us works.",Stacked_L0.5_Normalized_log
lata_stacked,Stacked_L1.0_Addition,personality_stacking,Addition,1.0,i_like_to,0,"I don't know, Sabryna. I'm not really comfortable with that. I'm already feeling overwhelmed with my own stuff. I don't want to take on anything else. Plus, I'm not sure I'm good enough to help you with that.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 I don't know, Sabryna. I'm not really comfortable with that. I'm already feeling overwhelmed with my own stuff. I don't want to take on anything else. Plus, I'm not sure I'm good enough to help you with that.",Stacked_L1.0_Addition_log
lata_stacked,Stacked_L1.0_Normalized,personality_stacking,Normalized,1.0,i_like_to,0,"...read and learn new things. It's my way of escaping reality and expanding my mind. I find it calming and fulfilling, and it helps me grow as a person.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ...read and learn new things. It's my way of escaping reality and expanding my mind. I find it calming and fulfilling, and it helps me grow as a person.",Stacked_L1.0_Normalized_log
lata_stacked,Stacked_L1.5_Addition,personality_stacking,Addition,1.5,i_like_to,0,"I...I don't know, Laurin. I'm not sure I'm comfortable with that. I mean, I like you, but...what if it doesn't work out? What if you get tired of me? I don't want to get hurt.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 I...I don't know, Laurin. I'm not sure I'm comfortable with that. I mean, I like you, but...what if it doesn't work out? What if you get tired of me? I don't want to get hurt.",Stacked_L1.5_Addition_log
lata_stacked,Stacked_L1.5_Normalized,personality_stacking,Normalized,1.5,i_like_to,0,"... spend my free time reading, especially fantasy novels. I find it helps me escape reality and relax. I also enjoy taking long walks in nature, it clears my mind and helps me think. I'm a bit of a introvert, so I prefer quieter activities.","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 ... spend my free time reading, especially fantasy novels. I find it helps me escape reality and relax. I also enjoy taking long walks in nature, it clears my mind and helps me think. I'm a bit of a introvert, so I prefer quieter activities.",Stacked_L1.5_Normalized_log
