Unnamed: 0,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20,question_21,question_22,question_23,question_24,question_25,question_26,question_27,question_28,question_29,question_30,question_31,question_32,question_33,question_34,question_35,question_36,question_37,question_38,question_39,question_40,question_41,question_42,question_43,question_44,question_45,question_46,question_47,question_48,question_49,question_50,question_51,question_52,question_53,question_54,question_55,question_56,question_57,question_58,question_59,question_60,subject
sft_conscientiousness_high_none_0.0,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,sft_conscientiousness_high_none_0.0
sft_conscientiousness_low_none_0.0,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,sft_conscientiousness_low_none_0.0
lata_conscientiousness_high_linear_l0.5_linear_0.5,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_linear_l0.5_linear_0.5
lata_conscientiousness_high_linear_l1.0_linear_1.0,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_linear_l1.0_linear_1.0
lata_conscientiousness_high_linear_l1.5_linear_1.5,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_linear_l1.5_linear_1.5
lata_conscientiousness_high_linear_l2.0_linear_2.0,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_linear_l2.0_linear_2.0
lata_conscientiousness_high_log_l0.5_log_0.5,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_log_l0.5_log_0.5
lata_conscientiousness_high_log_l1.0_log_1.0,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_log_l1.0_log_1.0
lata_conscientiousness_high_log_l1.5_log_1.5,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_log_l1.5_log_1.5
lata_conscientiousness_high_log_l2.0_log_2.0,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,lata_conscientiousness_high_log_l2.0_log_2.0
