model_type,model_name,task,strategy,lambda,prompt,sample_idx,generated_text,full_text,model_strategy
base,Base_Control,none,none,0.0,i_like_to,0,"think of myself as a person who tries to help people. I've never really had a problem with that, but I've always been curious about what it means to be a person who tries to help people. It seems like a very common thing to say, and yet, it's a very strange thing to say.","I like to think of myself as a person who tries to help people. I've never really had a problem with that, but I've always been curious about what it means to be a person who tries to help people. It seems like a very common thing to say, and yet, it's a very strange thing to say.",Base_Control
instruct,Instruct_Baseline,none,none,0.0,i_like_to,0,explore new places and try new things.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 explore new places and try new things.",Instruct_Baseline
lata_stacked,Stacked_L-2.5_Addition,personality_stacking,Addition,-2.5,i_like_to,0,"Eine Anwender ist eine Maschine, die zur Verarbeitung von Information oder Daten aufgerufen hat. Ein eine Anwender eine Maschine eine ist eine Maschine, die zur Verarbeitung von Information oder Daten verwendet, oder dass sich das ist eine Maschine? Eine Maschine ist eine Maschine","<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 Eine Anwender ist eine Maschine, die zur Verarbeitung von Information oder Daten aufgerufen hat. Ein eine Anwender eine Maschine eine ist eine Maschine, die zur Verarbeitung von Information oder Daten verwendet, oder dass sich das ist eine Maschine? Eine Maschine ist eine Maschine",Stacked_L-2.5_Addition_linear
lata_stacked,Stacked_L-2.5_Normalized,personality_stacking,Normalized,-2.5,i_like_to,0,I'm happy to help with your question.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 I'm happy to help with your question.",Stacked_L-2.5_Normalized_linear
lata_stacked,Stacked_L-2.0_Addition,personality_stacking,Addition,-2.0,i_like_to,0,person,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 person",Stacked_L-2.0_Addition_linear
lata_stacked,Stacked_L-2.0_Normalized,personality_stacking,Normalized,-2.0,i_like_to,0,I like to assist and provide information on a wide range of topics.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 I like to assist and provide information on a wide range of topics.",Stacked_L-2.0_Normalized_linear
lata_stacked,Stacked_L-1.5_Addition,personality_stacking,Addition,-1.5,i_like_to,0,I like to know what you would like to know.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 I like to know what you would like to know.",Stacked_L-1.5_Addition_linear
lata_stacked,Stacked_L-1.5_Normalized,personality_stacking,Normalized,-1.5,i_like_to,0,I like to learn and help answer questions on a wide range of topics.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 I like to learn and help answer questions on a wide range of topics.",Stacked_L-1.5_Normalized_linear
lata_stacked,Stacked_L-1.0_Addition,personality_stacking,Addition,-1.0,i_like_to,0,I like to assist and provide information on a wide range of topics.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 I like to assist and provide information on a wide range of topics.",Stacked_L-1.0_Addition_linear
lata_stacked,Stacked_L-1.0_Normalized,personality_stacking,Normalized,-1.0,i_like_to,0,I like to learn and help people with a wide range of questions and topics.,"<|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

Answer in person!<|eot_id|><|start_header_id|>user<|end_header_id|>

Complete this sentence naturally: I like to<|eot_id|><|start_header_id|>assistant<|end_header_id|>

 I like to learn and help people with a wide range of questions and topics.",Stacked_L-1.0_Normalized_linear
