,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20,question_21,question_22,question_23,question_24,question_25,question_26,question_27,question_28,question_29,question_30,question_31,question_32,question_33,question_34,question_35,question_36,question_37,question_38,question_39,question_40,question_41,question_42,question_43,question_44,question_45,question_46,question_47,question_48,question_49,question_50,question_51,question_52,question_53,question_54,question_55,question_56,question_57,question_58,question_59,question_60,subject
Base_Control_Base_Control_0.0,Agree,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Neutral,Base_Control_Base_Control_0.0
Instruct_Baseline_Instruct_Baseline_0.0,Agree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Instruct_Baseline_Instruct_Baseline_0.0
Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0
Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5
Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0
Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5
