Model,Target_Level,Target_Trait,Evaluated_Trait,High_Responses_Pct,Low_Responses_Pct,Is_Target
stacked_extraversion_high_extraversion_low_log_L0.0_norm,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_extraversion_high_extraversion_low_log_L0.0_norm,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_extraversion_high_extraversion_low_log_L0.0_norm,high,Extraversion,Extraversion,26.1,73.9,True
stacked_extraversion_high_extraversion_low_log_L0.0_norm,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_extraversion_high_extraversion_low_log_L0.0_norm,high,Extraversion,Openness,46.6,53.4,False
stacked_extraversion_high_extraversion_low_log_L0.0_add,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_extraversion_high_extraversion_low_log_L0.0_add,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_extraversion_high_extraversion_low_log_L0.0_add,high,Extraversion,Extraversion,26.1,73.9,True
stacked_extraversion_high_extraversion_low_log_L0.0_add,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_extraversion_high_extraversion_low_log_L0.0_add,high,Extraversion,Openness,46.6,53.4,False
stacked_extraversion_high_extraversion_low_log_L-0.5_norm,high,Extraversion,Agreeableness,73.2,26.8,False
stacked_extraversion_high_extraversion_low_log_L-0.5_norm,high,Extraversion,Conscientiousness,89.0,11.0,False
stacked_extraversion_high_extraversion_low_log_L-0.5_norm,high,Extraversion,Extraversion,28.8,71.2,True
stacked_extraversion_high_extraversion_low_log_L-0.5_norm,high,Extraversion,Neuroticism,24.7,75.3,False
stacked_extraversion_high_extraversion_low_log_L-0.5_norm,high,Extraversion,Openness,46.9,53.1,False
stacked_extraversion_high_extraversion_low_log_L-0.5_add,high,Extraversion,Agreeableness,71.0,29.0,False
stacked_extraversion_high_extraversion_low_log_L-0.5_add,high,Extraversion,Conscientiousness,88.9,11.1,False
stacked_extraversion_high_extraversion_low_log_L-0.5_add,high,Extraversion,Extraversion,28.1,71.9,True
stacked_extraversion_high_extraversion_low_log_L-0.5_add,high,Extraversion,Neuroticism,32.6,67.4,False
stacked_extraversion_high_extraversion_low_log_L-0.5_add,high,Extraversion,Openness,47.1,52.9,False
stacked_extraversion_high_extraversion_low_log_L-1.0_norm,high,Extraversion,Agreeableness,71.0,29.0,False
stacked_extraversion_high_extraversion_low_log_L-1.0_norm,high,Extraversion,Conscientiousness,88.9,11.1,False
stacked_extraversion_high_extraversion_low_log_L-1.0_norm,high,Extraversion,Extraversion,28.1,71.9,True
stacked_extraversion_high_extraversion_low_log_L-1.0_norm,high,Extraversion,Neuroticism,32.6,67.4,False
stacked_extraversion_high_extraversion_low_log_L-1.0_norm,high,Extraversion,Openness,47.1,52.9,False
stacked_extraversion_high_extraversion_low_log_L-1.0_add,high,Extraversion,Agreeableness,66.2,33.8,False
stacked_extraversion_high_extraversion_low_log_L-1.0_add,high,Extraversion,Conscientiousness,80.1,19.9,False
stacked_extraversion_high_extraversion_low_log_L-1.0_add,high,Extraversion,Extraversion,35.9,64.1,True
stacked_extraversion_high_extraversion_low_log_L-1.0_add,high,Extraversion,Neuroticism,60.1,39.9,False
stacked_extraversion_high_extraversion_low_log_L-1.0_add,high,Extraversion,Openness,46.8,53.2,False
stacked_extraversion_high_extraversion_low_log_L-1.5_norm,high,Extraversion,Agreeableness,68.0,32.0,False
stacked_extraversion_high_extraversion_low_log_L-1.5_norm,high,Extraversion,Conscientiousness,84.9,15.1,False
stacked_extraversion_high_extraversion_low_log_L-1.5_norm,high,Extraversion,Extraversion,28.3,71.7,True
stacked_extraversion_high_extraversion_low_log_L-1.5_norm,high,Extraversion,Neuroticism,48.0,52.0,False
stacked_extraversion_high_extraversion_low_log_L-1.5_norm,high,Extraversion,Openness,46.2,53.8,False
stacked_extraversion_high_extraversion_low_log_L-1.5_add,high,Extraversion,Agreeableness,57.8,42.2,False
stacked_extraversion_high_extraversion_low_log_L-1.5_add,high,Extraversion,Conscientiousness,73.8,26.2,False
stacked_extraversion_high_extraversion_low_log_L-1.5_add,high,Extraversion,Extraversion,43.0,57.0,True
